CNAME,LENGTH,WEIGHT
Brook Trout,275,275
Brook Trout,308,488
Brook Trout,227,181
Brook Trout,282,315
Brook Trout,276,307
Brook Trout,262,279
Brook Trout,275,308
Brook Trout,280,344
Brook Trout,298,385
Brook Trout,287,318
Brook Trout,293,338
Brook Trout,265,241
Brook Trout,200,101
Brook Trout,178,83
Brook Trout,250,204
Brook Trout,185,82
Brook Trout,173,69
Brook Trout,210,110
Brook Trout,230,128
Brook Trout,192,84
Brook Trout,227,139
Brook Trout,305,425
Brook Trout,274,290
Brook Trout,280,276
Brook Trout,284,314
Brook Trout,395,324
Brook Trout,235,160
Brook Trout,172,70
Brook Trout,148,43
Brook Trout,276,134
Brook Trout,290,312
Brook Trout,178,65
Brook Trout,191,82
Rainbow Trout,215,110
Rainbow Trout,255,180
Rainbow Trout,194,70
Rainbow Trout,258,140
Rainbow Trout,246,160
Rainbow Trout,228,120
Rainbow Trout,261,180
Rainbow Trout,174,80
Rainbow Trout,224,120
Rainbow Trout,280,220
Rainbow Trout,258,160
Rainbow Trout,230,120
Rainbow Trout,279,220
Rainbow Trout,234,140
Rainbow Trout,100,20
Rainbow Trout,280,240
Rainbow Trout,320,220
Rainbow Trout,269,200
Rainbow Trout,284,200
Rainbow Trout,195,80
Rainbow Trout,185,60
Rainbow Trout,263,200
Rainbow Trout,222,120
Rainbow Trout,230,120
Rainbow Trout,263,200
Rainbow Trout,292,220
Rainbow Trout,272,200
Rainbow Trout,240,160
Rainbow Trout,257,180
Rainbow Trout,288,240
Rainbow Trout,217,120
Rainbow Trout,253,180
Rainbow Trout,164,50
Rainbow Trout,228,120
Rainbow Trout,254,200
Rainbow Trout,185,70
Rainbow Trout,248,160
Rainbow Trout,150,40
Rainbow Trout,148,35
Rainbow Trout,116,17
Rainbow Trout,162,52
Rainbow Trout,167,60
Rainbow Trout,111,15
Rainbow Trout,157,45
Rainbow Trout,115,17
Rainbow Trout,118,20
Rainbow Trout,157,50
Rainbow Trout,160,45
Rainbow Trout,131,28
Rainbow Trout,100,12
Rainbow Trout,102,13
Rainbow Trout,131,28
Rainbow Trout,130,26
Rainbow Trout,119,18
Rainbow Trout,143,37
Rainbow Trout,124,22
Rainbow Trout,190,80
Rainbow Trout,120,19
Rainbow Trout,120,21
Rainbow Trout,146,36
Rainbow Trout,120,19
Rainbow Trout,173,55
Rainbow Trout,105,13
Rainbow Trout,118,19
Rainbow Trout,95,9.5
Rainbow Trout,139,32
Rainbow Trout,115,18.5
Rainbow Trout,120,21.5
Rainbow Trout,121,20
Rainbow Trout,96,10
Rainbow Trout,106,14
Rainbow Trout,109,14
Rainbow Trout,115,16.5
Rainbow Trout,142,34
Rainbow Trout,135,33
Rainbow Trout,141,33
Rainbow Trout,104,13
Rainbow Trout,123,19
Rainbow Trout,100,11
Rainbow Trout,115,17
Rainbow Trout,166,50
Rainbow Trout,86,7
Rainbow Trout,130,27
Rainbow Trout,100,12
Rainbow Trout,103,12
Rainbow Trout,101,12
Rainbow Trout,94,10
Rainbow Trout,115,19
Rainbow Trout,109,14
Rainbow Trout,147,36
Rainbow Trout,116,17
Rainbow Trout,108,16
Rainbow Trout,110,16
Rainbow Trout,123,20
Rainbow Trout,115,14
Rainbow Trout,95,9
Rainbow Trout,102,12
Rainbow Trout,174,70
Rainbow Trout,109,14
Rainbow Trout,139,31
Rainbow Trout,130,24
Rainbow Trout,133,28
Rainbow Trout,90,8
Rainbow Trout,126,25
Rainbow Trout,91,9
Rainbow Trout,104,13
Rainbow Trout,152,43
Rainbow Trout,93,10
Rainbow Trout,100,11
Rainbow Trout,94,10
Rainbow Trout,161,48
Rainbow Trout,135,30
Rainbow Trout,150,40
Rainbow Trout,140,35
Rainbow Trout,145,35
Rainbow Trout,140,33
Rainbow Trout,119,0
Rainbow Trout,130,0
Rainbow Trout,105,0
Rainbow Trout,101,0
Rainbow Trout,146,0
Rainbow Trout,133,0
Rainbow Trout,108,0
Rainbow Trout,129,0
Rainbow Trout,135,0
Rainbow Trout,98,0
Rainbow Trout,107,0
Rainbow Trout,128,0
Rainbow Trout,135,0
Rainbow Trout,98,0
Rainbow Trout,154,0
Rainbow Trout,130,0
Rainbow Trout,95,0
Rainbow Trout,100,0
